german,english,hungarian,type,⍨,,
"abgelaufen,-","expired, out of date",lejárt,adj,2014-05-29,,
abwesend,"absent, absently","távol lenni, nem jelen lenni (átvitt is)",adj,2014-10-15,,
ägyptisch,Egyptian,egyiptomi,adj,2014-10-16,,
ähnlich,similar,hasonló,adj,2014-05-01,,
albern,ridiculous,infantilis,adj,2014-10-01,,
allgemein,general,általános,adj,2014-05-01,,
"allmächtig,-",almighty,mindenható,adj,2014-05-01,,
alltäglich,"everyday; usual, common","megszokott, mindennapi",adj,2014-10-14,,
alltäglich,"ordinary, common, everyday, trivial","hétköznapi, mindennapos",adj,2014-10-14,,
amerikanisch,American,amerikai,adj,2014-10-16,,
"andauernd,-",continuous; ongoing,folyamatos,adj,2014-05-05,,
angeblich,supposedly,állítólag,adj,2014-10-01,,
angenehm,pleasant,kellemes,adj,2014-07-14,,
ängstlich,timid,félős,adj,2014-10-15,,
"anhaltend,-","persistent, continuous; continuously",szakadatlan; szakadatlanul,adj,2014-05-11,,
annehmbar,acceptable,elfogadható,adj,2014-05-24,,
anständig,"decent, reputable, ethical",tisztességes,adj,2014-09-09,,
anstrengend,tiring,fárasztó,adj,2014-05-01,,
argentinisch,Argentinian,argentín,adj,2014-10-16,,
atemberaubend,"stunning, breathtaking",lélegzetelállító,adj,2014-10-06,,
auffällig,"noticeable, striking; conspicuous ",feltűnő; észrevehető,adj,2014-05-01,,
aufgebracht,"furious, outraged, upset",magából kikelt,adj,2014-05-05,,
aufmerksam,"alert, observant (animal); kind, nice","éber (állat); figyelmes, előzékeny",adj,2014-05-24,,
aufrecht,"upright; straightforward, honest",egyenes; őszinte; becsületes,adj,2014-05-01,,
ausgeglichen,balanced; even,kiegyensúlyozott,adj,2014-10-01,,
ausgezeichnet,excellent,kiváló,adj,2014-06-04,,
außergewöhnlich,unusual,szokatlan,adj,2014-05-01,,
australisch,Australian,ausztrál,adj,2014-10-16,,
auswendig,"by heart, memorized",kívülről (tudni vmit),adj,2014-08-24,,
basis,basic,alap,adj,2014-09-23,,
beachtlich,"considerable, noticeable, remarkable","jelentős, figyelemfelkeltő",adj,2014-05-01,,
bedrängt,pressurized,megszorongatva lenni,adj,2014-05-01,,
begabt,"talented, able, capable",tehetséges,adj,2014-10-09,,
begeistert,"keen, enthusiastic",elragadtatott,adj,2014-08-24,,
"begrenzte,-",limited,korlátozott,adj,2014-05-01,,
belgisch,Belgian,belga,adj,2014-10-16,,
bemalt,painted,festett,adj,2014-10-14,,
bereit,"ready (already, not with sth)",késznek lenni (nem vmivel),adj,2014-10-13,,
beschädigte,damaged,sérült,adj,2014-09-14,,
beschäftigt,busy,elfoglalt,adj,2014-05-01,,
bescheuert,stupid,hülye (viccesen is),adj,2014-05-01,,
besondere,"special, particular, extraordinary",különleges,adj,2014-10-13,,
bestimmt,"certain, determined",biztos,adj,2014-05-09,,
beträchtlich,"substantial, considerable",jelentős,adj,2014-05-01,,
"bevorzugt,-",preferred,"preferált, előnnyel rendelkező",adj,2014-05-01,,
blauartig,blueish,"kékes, kékszerű",adj,2014-08-02,,
blöd,stupid,hülye (nem vicces),adj,2014-05-01,,
böse,"vicious, wicked, evil",gonosz,adj,2014-10-11,,
brasilianisch,Brazilian,brazil,adj,2014-10-16,,
breit,wide,széles,adj,2014-05-01,,
britisch,British,britt,adj,2014-10-16,,
bunt,colorful,színes,adj,2014-08-24,,
chinesisch,Chinese,kínai,adj,2014-10-16,,
clever,clever,okos; ravasz,adj,2014-05-01,,
deutlich,"articulate, clear; clearly","egyértelmű, jól látható; egyértelműen, jól láthatóan",adj,2014-06-04,,
doof,"dumb, silly, fool",hülye; egysíkú; bosszantó; zavaró; naív; agyatlan,adj,2014-08-13,,
dumm,dumb,buta,adj,2014-08-02,,
dünn,slim,sovány,adj,2014-08-02,,
